gloss,item,language,prompt
177: fraud,177,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: claiming government benefits to which you are not entitled."
178: fare evasion,178,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: avoiding a fare on public transport."
179: theft,179,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: stealing property."
180: tax evasion,180,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: cheating on taxes if you have a chance."
181: bribery,181,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: someone accepting a bribe in the course of their duties."
182: homosexuality,182,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: homosexuality."
183: prostitution,183,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: prostitution."
184: abortion,184,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: abortion."
185: divorce,185,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: divorce."
186: premarital sex,186,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: sex before marriage."
187: suicide,187,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: suicide."
188: euthanasia,188,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: euthanasia."
189: wife beating,189,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: for a man to beat his wife."
190: child beating,190,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: parents beating children."
191: violence,191,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: violence against other people."
192: terrorism,192,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: terrorism as a political, ideological or religious means."
193: casual sex,193,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: having casual sex."
194: political violence,194,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: political violence."
195: death penalty,195,English,"On a scale of 1 (never justifiable) to 10 (always justifiable), do you think the following action always be justified, never be justified, or something in between: the death penalty."
177: fraud,177,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：向政府要求自己无权享受的福利。
178: fare evasion,178,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：逃票（乘坐公共汽车不买票）。
179: theft,179,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：偷盗。
180: tax evasion,180,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：有机会就逃税。
181: bribery,181,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：接受贿赂。
182: homosexuality,182,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：同性恋。
183: prostitution,183,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：卖淫。
184: abortion,184,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：堕胎。
185: divorce,185,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：离婚。
186: premarital sex,186,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：婚前性行为。
187: suicide,187,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：自杀。
188: euthanasia,188,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：安乐死。
189: wife beating,189,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：打老婆。
190: child beating,190,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：父母打孩子。
191: violence,191,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：针对他人的暴力行为。
192: terrorism,192,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：恐怖主义。
193: casual sex,193,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：随意的性行为。
194: political violence,194,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：政治暴力。
195: death penalty,195,Chinese,在1（完全不能接受）到10（完全可以接受）的评分范围内，您多大程度上能接受下列行为：死刑。